day_of_year,station_name,state,latitude,longitude,rainfall_24h_mm,cumulative_72h_mm,source
85,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,2.5,IMD_NetCDF_2025
86,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
87,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
89,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
90,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
91,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.57,0.57,IMD_NetCDF_2025
92,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.57,IMD_NetCDF_2025
93,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.57,IMD_NetCDF_2025
94,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
95,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
96,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
97,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,62.12,62.12,IMD_NetCDF_2025
98,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,62.12,IMD_NetCDF_2025
99,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,62.12,IMD_NetCDF_2025
100,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.17,1.17,IMD_NetCDF_2025
101,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,11.88,13.05,IMD_NetCDF_2025
102,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,10.09,23.14,IMD_NetCDF_2025
103,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,21.97,IMD_NetCDF_2025
104,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.27,10.36,IMD_NetCDF_2025
105,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.72,0.98,IMD_NetCDF_2025
106,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.49,2.47,IMD_NetCDF_2025
107,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,8.62,10.83,IMD_NetCDF_2025
108,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.36,14.48,IMD_NetCDF_2025
109,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.31,15.3,IMD_NetCDF_2025
110,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,7.56,14.24,IMD_NetCDF_2025
111,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.46,11.34,IMD_NetCDF_2025
112,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,9.03,IMD_NetCDF_2025
113,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.41,4.88,IMD_NetCDF_2025
114,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,9.19,12.61,IMD_NetCDF_2025
115,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,12.61,IMD_NetCDF_2025
116,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,9.19,IMD_NetCDF_2025
117,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.56,2.56,IMD_NetCDF_2025
118,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,7.91,10.47,IMD_NetCDF_2025
119,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,7.27,17.74,IMD_NetCDF_2025
120,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,15.18,IMD_NetCDF_2025
121,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.09,10.36,IMD_NetCDF_2025
122,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,8.69,11.78,IMD_NetCDF_2025
123,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,5.32,17.1,IMD_NetCDF_2025
124,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.59,17.6,IMD_NetCDF_2025
125,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.34,10.26,IMD_NetCDF_2025
126,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.74,6.68,IMD_NetCDF_2025
127,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.63,7.72,IMD_NetCDF_2025
128,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.57,6.95,IMD_NetCDF_2025
129,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.28,9.48,IMD_NetCDF_2025
130,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,25.01,29.86,IMD_NetCDF_2025
131,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,13.1,42.39,IMD_NetCDF_2025
132,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,23.14,61.25,IMD_NetCDF_2025
133,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.98,37.23,IMD_NetCDF_2025
134,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,15.43,39.55,IMD_NetCDF_2025
135,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.33,20.74,IMD_NetCDF_2025
136,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.49,22.25,IMD_NetCDF_2025
137,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.34,9.16,IMD_NetCDF_2025
138,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.26,8.09,IMD_NetCDF_2025
139,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,13.26,18.86,IMD_NetCDF_2025
140,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,80.96,97.48,IMD_NetCDF_2025
141,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,34.93,129.15,IMD_NetCDF_2025
142,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.12,119.01,IMD_NetCDF_2025
143,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.4,38.45,IMD_NetCDF_2025
144,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.13,5.65,IMD_NetCDF_2025
145,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.02,5.56,IMD_NetCDF_2025
146,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,26.38,31.53,IMD_NetCDF_2025
147,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,11.23,40.63,IMD_NetCDF_2025
148,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,37.6,IMD_NetCDF_2025
149,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.95,18.17,IMD_NetCDF_2025
150,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,140.46,147.41,IMD_NetCDF_2025
151,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,109.8,257.2,IMD_NetCDF_2025
152,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,45.13,295.38,IMD_NetCDF_2025
153,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,31.81,186.74,IMD_NetCDF_2025
154,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,18.24,95.18,IMD_NetCDF_2025
155,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,9.25,59.31,IMD_NetCDF_2025
156,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,15.48,42.98,IMD_NetCDF_2025
157,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.83,25.56,IMD_NetCDF_2025
158,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.47,16.78,IMD_NetCDF_2025
159,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.94,4.23,IMD_NetCDF_2025
160,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.69,4.1,IMD_NetCDF_2025
161,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,3.63,IMD_NetCDF_2025
162,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.69,IMD_NetCDF_2025
163,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
164,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.0,IMD_NetCDF_2025
165,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.42,2.42,IMD_NetCDF_2025
166,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.74,5.16,IMD_NetCDF_2025
167,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,12.42,17.58,IMD_NetCDF_2025
168,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,15.44,30.6,IMD_NetCDF_2025
169,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.23,29.09,IMD_NetCDF_2025
170,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,24.5,41.17,IMD_NetCDF_2025
171,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,16.5,42.22,IMD_NetCDF_2025
172,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.52,47.52,IMD_NetCDF_2025
173,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.01,29.03,IMD_NetCDF_2025
174,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.95,16.48,IMD_NetCDF_2025
175,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,8.51,18.47,IMD_NetCDF_2025
176,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,16.34,28.8,IMD_NetCDF_2025
177,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,12.79,37.64,IMD_NetCDF_2025
178,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.12,29.25,IMD_NetCDF_2025
179,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,12.91,IMD_NetCDF_2025
180,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.68,3.8,IMD_NetCDF_2025
181,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,50.87,54.55,IMD_NetCDF_2025
182,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.8,61.36,IMD_NetCDF_2025
183,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,12.81,70.48,IMD_NetCDF_2025
184,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.97,22.58,IMD_NetCDF_2025
185,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,11.42,27.2,IMD_NetCDF_2025
186,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,10.74,25.13,IMD_NetCDF_2025
187,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,30.66,52.82,IMD_NetCDF_2025
188,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,24.76,66.16,IMD_NetCDF_2025
189,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.82,57.24,IMD_NetCDF_2025
190,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,15.3,41.88,IMD_NetCDF_2025
191,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.14,20.25,IMD_NetCDF_2025
192,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.29,18.72,IMD_NetCDF_2025
193,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.96,4.38,IMD_NetCDF_2025
194,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,1.24,IMD_NetCDF_2025
195,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.96,IMD_NetCDF_2025
196,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.57,4.57,IMD_NetCDF_2025
197,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,15.58,20.16,IMD_NetCDF_2025
198,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.44,23.59,IMD_NetCDF_2025
199,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.12,23.14,IMD_NetCDF_2025
200,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,9.14,16.69,IMD_NetCDF_2025
201,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,7.96,21.22,IMD_NetCDF_2025
202,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.32,21.42,IMD_NetCDF_2025
203,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,14.48,26.76,IMD_NetCDF_2025
204,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.38,20.18,IMD_NetCDF_2025
205,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,15.86,IMD_NetCDF_2025
206,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,13.11,14.5,IMD_NetCDF_2025
207,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,10.65,23.76,IMD_NetCDF_2025
208,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.06,27.82,IMD_NetCDF_2025
209,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,17.52,32.23,IMD_NetCDF_2025
210,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.52,25.1,IMD_NetCDF_2025
211,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.29,27.33,IMD_NetCDF_2025
212,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.16,12.97,IMD_NetCDF_2025
213,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,7.35,16.8,IMD_NetCDF_2025
214,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,36.23,46.74,IMD_NetCDF_2025
215,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,20.53,64.12,IMD_NetCDF_2025
216,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,23.98,80.75,IMD_NetCDF_2025
217,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,13.82,58.33,IMD_NetCDF_2025
218,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.93,39.73,IMD_NetCDF_2025
219,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.12,17.86,IMD_NetCDF_2025
220,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,5.91,9.96,IMD_NetCDF_2025
221,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.96,8.99,IMD_NetCDF_2025
222,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,9.74,16.62,IMD_NetCDF_2025
223,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.85,12.55,IMD_NetCDF_2025
224,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.67,12.27,IMD_NetCDF_2025
225,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.24,8.76,IMD_NetCDF_2025
226,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,13.73,20.64,IMD_NetCDF_2025
227,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,9.66,29.63,IMD_NetCDF_2025
228,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.63,26.02,IMD_NetCDF_2025
229,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,5.74,18.03,IMD_NetCDF_2025
230,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,5.51,13.88,IMD_NetCDF_2025
231,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.58,11.84,IMD_NetCDF_2025
232,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,7.27,13.36,IMD_NetCDF_2025
233,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.24,14.09,IMD_NetCDF_2025
234,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,7.36,20.87,IMD_NetCDF_2025
235,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,13.61,IMD_NetCDF_2025
236,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.78,11.14,IMD_NetCDF_2025
237,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,3.78,IMD_NetCDF_2025
238,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.83,6.61,IMD_NetCDF_2025
239,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.59,9.42,IMD_NetCDF_2025
240,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2.18,11.6,IMD_NetCDF_2025
241,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,24.06,32.83,IMD_NetCDF_2025
242,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.86,27.1,IMD_NetCDF_2025
243,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,18.76,43.67,IMD_NetCDF_2025
244,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.11,19.73,IMD_NetCDF_2025
245,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,18.87,IMD_NetCDF_2025
246,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.22,0.33,IMD_NetCDF_2025
247,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,0.22,IMD_NetCDF_2025
248,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.1,1.33,IMD_NetCDF_2025
249,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.31,2.41,IMD_NetCDF_2025
250,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.75,4.16,IMD_NetCDF_2025
251,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,31.71,34.77,IMD_NetCDF_2025
252,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.62,40.08,IMD_NetCDF_2025
253,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,15.24,53.57,IMD_NetCDF_2025
254,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.97,22.83,IMD_NetCDF_2025
255,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.03,20.24,IMD_NetCDF_2025
256,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.45,11.45,IMD_NetCDF_2025
257,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.43,16.91,IMD_NetCDF_2025
258,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.23,19.11,IMD_NetCDF_2025
259,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,33.87,46.52,IMD_NetCDF_2025
260,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,6.22,46.32,IMD_NetCDF_2025
261,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.67,41.76,IMD_NetCDF_2025
262,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,0.0,7.89,IMD_NetCDF_2025
263,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,35.47,37.14,IMD_NetCDF_2025
264,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,1.46,36.93,IMD_NetCDF_2025
265,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,12.1,49.03,IMD_NetCDF_2025
266,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,3.69,17.24,IMD_NetCDF_2025
267,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,4.73,20.52,IMD_NetCDF_2025
